ID,Fundo,N° Guía,Animales,Tipo ganado,Peso (kg),Animales pesados,Observaciones,Estado,Fecha venta,Creado por,Fecha creado
3867,feedlot,2265,44,Vaquilla: 44,20944,44,44 vaquillas gordas ABSO a Frigorífico Temuco con guía nuestra ,Completo,"""2022-10-24T00:00:00.000Z""",guentrepan,"""2022-10-24T00:00:00.000Z"""
3854,feedlot,,45,Novillo: 45,22665,45,45 novillos Frival a Frival con guía de ellos ,Completo,"""2022-10-20T00:00:00.000Z""",guentrepan,"""2022-10-20T00:00:00.000Z"""
3850,feedlot,2264,41,Vaquilla: 41,19040,41,41 vaquillas desposte ABSO a Frival con guía Nuestra.,Completo,"""2022-10-19T00:00:00.000Z""",guentrepan,"""2022-10-19T00:00:00.000Z"""
3849,feedlot,2263,45,Novillo: 45,25032,45,45 Novillos Frival a Frigorífico Osorno con guía nuestra ,Completo,"""2022-10-19T00:00:00.000Z""",guentrepan,"""2022-10-19T00:00:00.000Z"""
3842,feedlot,2261,40,Novillo: 40,20109,40,40 novillos abso a frigorífico Temuco con guía nuestra ,Completo,"""2022-10-17T00:00:00.000Z""",guentrepan,"""2022-10-17T00:00:00.000Z"""
3841,feedlot,2259,46,"Novillo: 10
Vaquilla: 36",21781,46,10 novillos y 36 vaquillas animales propios a Frigorífico Temuco ,Completo,"""2022-10-17T00:00:00.000Z""",guentrepan,"""2022-10-17T00:00:00.000Z"""
3820,feedlot,,45,Novillo: 45,23491,45,45 novillos Frival a Frival con guía de ellos,Completo,"""2022-10-13T00:00:00.000Z""",guentrepan,"""2022-10-12T00:00:00.000Z"""
3819,feedlot,34,45,"Novillo: 16
Vaquilla: 29",20623,45,16 novillos y 29 vaquillas Frival a Frival con guía de ellos.,Completo,"""2022-10-12T00:00:00.000Z""",guentrepan,"""2022-10-12T00:00:00.000Z"""
3818,feedlot,2258,45,Vaquilla: 45,21196,45,45 vaquillas ABSO a mollendo con guía nuestra ,Completo,"""2022-10-13T00:00:00.000Z""",guentrepan,"""2022-10-12T00:00:00.000Z"""
3817,feedlot,2257,45,Vaquilla: 45,21314,45,45 vaquillas abso a mollendo con guía nuestra,Completo,"""2022-10-13T00:00:00.000Z""",guentrepan,"""2022-10-12T00:00:00.000Z"""
3807,feedlot,33,45,Novillo: 45,24021,45,45 novillos gordos Frival a Frival con guía de ellos ,Completo,"""2022-10-11T00:00:00.000Z""",guentrepan,"""2022-10-08T00:00:00.000Z"""
3805,feedlot,16436,45,Vaquilla: 45,22845,45,45 vaquillas ABSO a Frigorífico Temuco  con guía Fegosa ,Completo,"""2022-10-11T00:00:00.000Z""",guentrepan,"""2022-10-08T00:00:00.000Z"""
3796,feedlot,2120,41,"Novillo: 6
Vaquilla: 35",18238,41,6 novillos mas 35 vaquillas ABSO a frigorífico Osorno con guía de ellos ,Completo,"""2022-10-04T00:00:00.000Z""",guentrepan,"""2022-10-04T00:00:00.000Z"""
3794,feedlot,51,35,Vaquilla: 35,13848,35,35 vaquillas tattersall del solar a feria tattersall freiré con guía de ellos,Completo,"""2022-10-04T00:00:00.000Z""",guentrepan,"""2022-10-04T00:00:00.000Z"""
3792,feedlot,13,45,Vaquilla: 45,21497,45,45 vaquillas Frival a Frival con guía de ellos.,Completo,"""2022-10-03T00:00:00.000Z""",guentrepan,"""2022-10-03T00:00:00.000Z"""
3786,feedlot,,43,Vaquilla: 43,20453,43,43 vaquillas tattersall oller a Matadero Pangal Aysen con guía Tattersall ,Completo,"""2022-10-01T00:00:00.000Z""",guentrepan,"""2022-09-30T00:00:00.000Z"""
3775,feedlot,2256,42,Vaquilla: 42,21780,42,42 vaquillas ABSO a frigo Osorno con guía nuestra ,Completo,"""2022-09-29T00:00:00.000Z""",guentrepan,"""2022-09-29T00:00:00.000Z"""
3769,feedlot,2255,42,Vaquilla: 42,22028,42,42 vaquillas ABSO a frigo Osorno con guía nuestra.,Completo,"""2022-09-29T00:00:00.000Z""",guentrepan,"""2022-09-29T00:00:00.000Z"""
3756,feedlot,2254,42,Novillo: 42,24676,42,42 novillos propios a Frival,Completo,"""2022-09-28T00:00:00.000Z""",guentrepan,"""2022-09-28T00:00:00.000Z"""
3748,feedlot,,24,Vaquilla: 24,10704,24,24 vaquillas tattersall oller a Feria tattersall Puerto Varas con guía Tattersall ,Completo,"""2022-09-26T00:00:00.000Z""",guentrepan,"""2022-09-26T00:00:00.000Z"""
3747,feedlot,50,23,Vaquilla: 23,9768,23,23 vaquillas tattersall del solar a Feria Tattersall Freire con guía de ellos ,Completo,"""2022-09-26T00:00:00.000Z""",guentrepan,"""2022-09-26T00:00:00.000Z"""
3744,feedlot,2252,46,Vaquilla: 46,20915,46,46 vaquillas propias ferias Araucanía Temuco,Completo,"""2022-09-26T00:00:00.000Z""",guentrepan,"""2022-09-26T00:00:00.000Z"""
3743,feedlot,1439690,43,Vaquilla: 43,20499,43,43 vaquillas tattersall oller a frigorífico Angol,Completo,"""2022-09-26T00:00:00.000Z""",guentrepan,"""2022-09-26T00:00:00.000Z"""
3737,feedlot,,46,"Novillo: 12
Vaquilla: 34",24499,46,12 novillos más 36 vaquillas Frival a Frival con guía de ellos.,Completo,"""2022-09-25T00:00:00.000Z""",guentrepan,"""2022-09-24T00:00:00.000Z"""
3725,feedlot,61,43,Novillo: 43,22805,43,43 novillos Frival a Frival con guía de ellos,Completo,"""2022-09-22T00:00:00.000Z""",guentrepan,"""2022-09-21T00:00:00.000Z"""
3721,feedlot,2251,43,Novillo: 43,25072,43,43 novillos propios a Frival,Completo,"""2022-09-21T00:00:00.000Z""",guentrepan,"""2022-09-21T00:00:00.000Z"""
3718,feedlot,49,45,Vaquilla: 45,19614,45,45 vaquillas tattersall del solar a Feria Tattersall Freire con guía de ellos,Completo,"""2022-09-20T00:00:00.000Z""",guentrepan,"""2022-09-20T00:00:00.000Z"""
3716,feedlot,2250,40,"Novillo: 9
Vaquilla: 31",17718,40,40 animales propios a Frival desposte,Completo,"""2022-09-20T00:00:00.000Z""",guentrepan,"""2022-09-20T00:00:00.000Z"""
3715,feedlot,2249,40,Novillo: 40,19867,40,40 novillos ABSO gordos a  Frival con guía nuestra ,Completo,"""2022-09-20T00:00:00.000Z""",guentrepan,"""2022-09-20T00:00:00.000Z"""
3712,feedlot,2248,45,Vaquilla: 45,22809,45,45 vaquillas ABSO FrigoOsorno ( con guía nuestra ),Completo,"""2022-09-20T00:00:00.000Z""",guentrepan,"""2022-09-20T00:00:00.000Z"""
3703,feedlot,,6,Novillo: 6,2789,6,cojos frival,Completo,"""2022-09-14T00:00:00.000Z""",guentrepan,"""2022-09-14T00:00:00.000Z"""
3698,feedlot,,43,Novillo: 43,23446,43,"43 novillos Frival a Frival con Guía de ellos.
",Completo,"""2022-09-12T00:00:00.000Z""",guentrepan,"""2022-09-12T00:00:00.000Z"""
3697,feedlot,2248,40,Novillo: 40,17819,40,40 novillos Abso Desposte a Frigosorno con guía nuestra ,Completo,"""2022-09-10T00:00:00.000Z""",guentrepan,"""2022-09-10T00:00:00.000Z"""
3686,San Pedro,,10,"Novillo: 3
Toro: 5
Vaca: 2",0,0,feria freire,Completo,"""2022-09-07T00:00:00.000Z""",Diego,"""2022-09-07T00:00:00.000Z"""
3684,feedlot,2241,11,"Vaca: 5
Vaquilla: 6",5822,11,Venta 7 vacas gordas + 1 vaq preñada + 3 vaqs animales propios a Feria Freire,Completo,"""2022-09-06T00:00:00.000Z""",guentrepan,"""2022-09-06T00:00:00.000Z"""
3683,feedlot,,45,Vaquilla: 45,19784,45,45 vaquillas gordas tattersall del solar a Feria tattersall Freire con guía de ellos.,Completo,"""2022-09-06T00:00:00.000Z""",guentrepan,"""2022-09-06T00:00:00.000Z"""
3679,feedlot,2243,45,Vaquilla: 45,21239,45,45 vaquillas propias a Ferias Araucanias Freire,Completo,"""2022-09-07T00:00:00.000Z""",guentrepan,"""2022-09-05T00:00:00.000Z"""
3678,feedlot,55,45,"Novillo: 1
Vaquilla: 44",22668,45,45 vaquillas Frival a Frival con Guía de ellos ,Completo,"""2022-09-05T00:00:00.000Z""",guentrepan,"""2022-09-05T00:00:00.000Z"""
3671,feedlot,2240,44,Vaquilla: 44,23224,44,44 vaquillas Frival a frigorífico Temuco con guía Nuestra ,Completo,"""2022-09-03T00:00:00.000Z""",guentrepan,"""2022-09-03T00:00:00.000Z"""
3670,feedlot,2239,45,Vaquilla: 45,25054,45,45 vaquillas gordas propias ( pampa chile ) frigorífico Temuco,Completo,"""2022-09-03T00:00:00.000Z""",guentrepan,"""2022-09-03T00:00:00.000Z"""
3652,feedlot,1437492,20,Vaquilla: 20,9859,20,20 vaquillas propias a tattersall  ( frigorífico victoria) con guía Tattersall ,Completo,"""2022-08-31T00:00:00.000Z""",guentrepan,"""2022-08-31T00:00:00.000Z"""
3651,feedlot,2229,45,Novillo: 45,24158,45,45 novillos Frival a frigo Osorno,Completo,"""2022-08-31T00:00:00.000Z""",guentrepan,"""2022-08-31T00:00:00.000Z"""
3646,feedlot,2236,45,Novillo: 45,24928,45,45 novillos propios a frigorífico Temuco,Completo,"""2022-08-30T00:00:00.000Z""",guentrepan,"""2022-08-30T00:00:00.000Z"""
3640,feedlot,2020,45,Vaquilla: 45,22207,45,45 vaquillas abso a frigo Osorno con guía de ellos ,Completo,"""2022-08-29T00:00:00.000Z""",guentrepan,"""2022-08-29T00:00:00.000Z"""
3638,feedlot,52,42,Novillo: 42,20448,42,42 novillos desposte Frival a Frival con Guía de ellos ,Completo,"""2022-08-29T00:00:00.000Z""",guentrepan,"""2022-08-29T00:00:00.000Z"""
3636,feedlot,54,45,Vaquilla: 45,22683,45,45 vaquillas Frival a Frival con Guía de ellos ,Completo,"""2022-08-29T00:00:00.000Z""",guentrepan,"""2022-08-29T00:00:00.000Z"""
3635,feedlot,2235,45,Vaquilla: 45,21692,45,45 vaquillas propias Frival,Completo,"""2022-08-29T00:00:00.000Z""",guentrepan,"""2022-08-29T00:00:00.000Z"""
3634,feedlot,2234,45,Vaquilla: 45,20228,45,45 vaquillas propias a ferias Araucanias,Completo,"""2022-08-29T00:00:00.000Z""",guentrepan,"""2022-08-29T00:00:00.000Z"""
