Diio,Fundo,Tipo ganado,Fecha nacimiento,Estado reproductivo,Estado leche,Motivo,Detalle,Fecha baja,Creado por,Fecha creado
4298475,San Pedro,Vaca,"""2014-08-30T00:00:00.000Z""",Preñada,En Leche,otros,baja inventario,"""2019-05-22T00:00:00.000Z""",guentrepan,"""2019-05-22T00:00:00.000Z"""
4264271,San Pedro,Vaca,"""2012-12-15T00:00:00.000Z""",Preñada,En Leche,otros,baja inventario,"""2019-05-22T00:00:00.000Z""",guentrepan,"""2019-05-22T00:00:00.000Z"""
14476389,San Pedro,Ternero,"""2018-07-15T00:00:00.000Z""",,,Muerte,abomasitis hemorragica,"""2019-05-20T00:00:00.000Z""",guentrepan,"""2019-05-20T00:00:00.000Z"""
16464522,San Pedro,Ternera,"""2018-09-07T00:00:00.000Z""",,,Neumonia,neumonia cronica,"""2019-05-18T00:00:00.000Z""",guentrepan,"""2019-05-19T00:00:00.000Z"""
14476323,San Pedro,Vaca,"""2010-10-15T00:00:00.000Z""",Preñada,En Leche,Muerte,Flaca PTBc,"""2019-05-06T00:00:00.000Z""",guentrepan,"""2019-05-06T00:00:00.000Z"""
10590189,San Pedro,Vaca,"""2014-09-15T00:00:00.000Z""",Preñada,En Leche,Muerte,septicemia mandivula,"""2019-04-27T00:00:00.000Z""",guentrepan,"""2019-05-04T00:00:00.000Z"""
14476437,San Pedro,Ternero,"""2018-07-20T00:00:00.000Z""",,,Muerte,paralisis ruminal,"""2019-04-08T00:00:00.000Z""",guentrepan,"""2019-04-10T00:00:00.000Z"""
10591128,San Pedro,Vaca,"""2011-12-15T00:00:00.000Z""",Vacía,En Leche,Muerte,prolapso uterino,"""2019-04-08T00:00:00.000Z""",guentrepan,"""2019-04-08T00:00:00.000Z"""
4221260,San Pedro,Vaca,"""2010-11-15T00:00:00.000Z""",Vacía,En Leche,Muerte,Flaca PTBc,"""2019-03-30T00:00:00.000Z""",guentrepan,"""2019-04-01T00:00:00.000Z"""
10591082,San Pedro,Vaquilla,"""2017-07-15T00:00:00.000Z""",Preencaste,,Muerte,Tumor rectal,"""2019-01-23T00:00:00.000Z""",guentrepan,"""2019-01-29T00:00:00.000Z"""
10590701,San Pedro,Vaca,"""2014-11-15T00:00:00.000Z""",Parida,En Leche,Muerte,Flaca PTBc,"""2019-01-11T00:00:00.000Z""",guentrepan,"""2019-01-15T00:00:00.000Z"""
