Diio,Fecha nacimiento,Tipo ganado,Raza,Fundo,Estado reproductivo,Estado leche,Observaciones,Partos,Diio Madre,Padre,Abuelo,Origen,Fecha creado
21430698,"""2015-07-15T00:00:00.000Z""",Vaca,Angus Negro,San Pedro,Preñada,En Leche,,6,,,,ag. Rayen Lafquen,"""2020-10-08T00:00:00.000Z"""
21430700,"""2021-09-23T00:00:00.000Z""",Vaca,Angus Negro,San Pedro,Preñada,En Leche,,3,25836245,Toro Campo,Subtantial,,"""2021-09-23T00:00:00.000Z"""
21453798,"""2023-12-18T00:00:00.000Z""",Novillo,Angus Rojo,Medieria FT,,,,,,,,Agrícola Gondesende (2),"""2025-12-18T00:00:00.000Z"""
21536608,"""2023-12-24T00:00:00.000Z""",Novillo,Angus Rojo,Medieria FT,,,,,,,,Ganadera Viento Sur,"""2025-12-24T00:00:00.000Z"""
21537176,"""2024-01-20T00:00:00.000Z""",Vaquilla,Angus Negro,Mollendo ,Vacía,,,,,,,Santa Isabel (2),"""2026-01-20T00:00:00.000Z"""
21560029,"""2024-03-28T00:00:00.000Z""",Novillo,Angus Rojo,Medieria FT,,,,,,,,Fegosa Puerto Montt,"""2026-03-28T00:00:00.000Z"""
21596237,"""2024-01-29T00:00:00.000Z""",Novillo,Híbrido,Medieria FT,,,,,,,,Chacaipulli,"""2026-01-29T00:00:00.000Z"""
21832048,"""2024-01-23T00:00:00.000Z""",Novillo,Angus Negro,Medieria FT,,,,,,,,Fegosa Puerto Montt,"""2026-01-23T00:00:00.000Z"""
21986496,"""2024-04-18T00:00:00.000Z""",Novillo,Angus Rojo,Medieria FT,,,,,,,,Fegosa Puerto Montt (1),"""2026-04-18T00:00:00.000Z"""
22108341,"""2024-02-26T00:00:00.000Z""",Novillo,Angus Negro,Medieria FT,,,,,,,,Mantos Verdes (1),"""2026-02-26T00:00:00.000Z"""
22108350,"""2024-02-26T00:00:00.000Z""",Novillo,Angus Negro,Medieria FT,,,,,,,,Mantos Verdes (2),"""2026-02-26T00:00:00.000Z"""
22108489,"""2024-01-14T00:00:00.000Z""",Novillo,Angus Rojo,Medieria FT,,,,,,,,Mantos Verdes 1,"""2026-01-14T00:00:00.000Z"""
22213743,"""2024-02-18T00:00:00.000Z""",Novillo,Angus Negro,Medieria FT,,,,,,,,Ag Mantos Verdes (2),"""2026-02-18T00:00:00.000Z"""
22258559,"""2024-03-11T00:00:00.000Z""",Novillo,Híbrido,Medieria FT,,,,,,,,Fegosa Purranque & Osorno,"""2026-03-11T00:00:00.000Z"""
22275970,"""2024-03-05T00:00:00.000Z""",Novillo,Angus Negro,Medieria FT,,,,,,,,Fegosa Puerto Montt (2),"""2026-03-05T00:00:00.000Z"""
22351351,"""2024-01-20T00:00:00.000Z""",Novillo,Angus Negro,Mollendo ,,,,,,,,Santa Isabel (1),"""2026-01-20T00:00:00.000Z"""
22353943,"""2024-03-20T00:00:00.000Z""",Novillo,Angus Negro,Medieria FT,,,,,,,,Fegosa Puerto Montt,"""2026-03-20T00:00:00.000Z"""
22361734,"""2024-01-21T00:00:00.000Z""",Novillo,Angus Rojo,Mollendo ,,,,,,,,Agrícola los Lingues,"""2026-01-21T00:00:00.000Z"""
22361739,"""2024-01-21T00:00:00.000Z""",Novillo,Angus Rojo,Mollendo ,,,,,,,,Agrícola los Lingues,"""2026-01-21T00:00:00.000Z"""
22361741,"""2024-01-21T00:00:00.000Z""",Novillo,Angus Rojo,Mollendo ,,,,,,,,Agrícola los Lingues,"""2026-01-21T00:00:00.000Z"""
22361750,"""2024-01-21T00:00:00.000Z""",Novillo,Angus Rojo,Mollendo ,,,,,,,,Agrícola los Lingues,"""2026-01-21T00:00:00.000Z"""
22361751,"""2024-01-21T00:00:00.000Z""",Novillo,Angus Rojo,Mollendo ,,,,,,,,Agrícola los Lingues,"""2026-01-21T00:00:00.000Z"""
22361752,"""2024-01-21T00:00:00.000Z""",Novillo,Angus Rojo,Mollendo ,,,,,,,,Agrícola los Lingues,"""2026-01-21T00:00:00.000Z"""
22361758,"""2024-03-13T00:00:00.000Z""",Novillo,Angus,Mollendo ,,,,,,,,Mollendo 12-03,"""2026-03-13T00:00:00.000Z"""
22361759,"""2024-01-21T00:00:00.000Z""",Novillo,Angus Rojo,Mollendo ,,,,,,,,Agrícola los Lingues,"""2026-01-21T00:00:00.000Z"""
22361770,"""2024-01-21T00:00:00.000Z""",Novillo,Angus Rojo,Mollendo ,,,,,,,,Agrícola los Lingues,"""2026-01-21T00:00:00.000Z"""
22361781,"""2024-01-21T00:00:00.000Z""",Novillo,Angus Rojo,Mollendo ,,,,,,,,Agrícola los Lingues,"""2026-01-21T00:00:00.000Z"""
22361783,"""2024-01-21T00:00:00.000Z""",Novillo,Hereford,Mollendo ,,,,,,,,Agrícola los Lingues,"""2026-01-21T00:00:00.000Z"""
22462977,"""2024-02-05T00:00:00.000Z""",Novillo,Angus Rojo,Medieria FT,,,,,,,,Oscar H. Bugueno,"""2026-02-05T00:00:00.000Z"""
22475388,"""2024-11-27T00:00:00.000Z""",Novillo,Angus Negro,Medieria FT,,,,,,,,Tattersall Río Bueno,"""2025-11-27T00:00:00.000Z"""
22481854,"""2024-01-23T00:00:00.000Z""",Novillo,Angus Rojo,Medieria FT,,,,,,,,Fegosa Puerto Montt,"""2026-01-23T00:00:00.000Z"""
